,str_id,src,dst,road,direction,dist
365,1010018600,황학사거리,흥인사거리,마장로,상행,672
366,1010018700,동대문디자인플라자,청계6가앞,마장로,상행,274
367,1010018800,청계6가앞,동대문디자인플라자,마장로,하행,278
368,1010018900,동평화시장,동대문디자인플라자,마장로1길,상행,217
369,1010019000,동대문디자인플라자,동평화시장,마장로1길,하행,215
370,1010019100,청계7가,흥인사거리,다산로,상행,202
371,1010019200,흥인사거리,청계7가,다산로,하행,202
372,1010019300,청계8가,황학사거리,난계로,하행,429
373,1010019400,황학사거리,청계8가,난계로,상행,429
374,1010019500,청계7가,청계6가,청계천로,하행,543
375,1010019600,동평화시장,청계7가,청계천로,상행,323
376,1010019700,청계8가,청계7가,청계천로,하행,725
377,1010019800,청계7가,청계8가,청계천로,상행,724
378,1010019900,동묘앞역,청계7가,지봉로,상행,355
379,1010020000,청계7가,동묘앞역,지봉로,하행,356
380,1010020100,신설동역,청계8가,난계로,하행,425
381,1010020200,청계8가,신설동역,난계로,상행,425
382,1020000100,한강시민공원이촌지구,동작대교북단,강변북로,하행,1457
383,1020000200,동작대교북단,한강시민공원이촌지구,강변북로,상행,1150
384,1020000300,반포대교북단,동작대교북단,강변북로,상행,1055
385,1020000400,동작대교북단,반포대교북단,강변북로,하행,1066
386,1020000500,한강대교북단,한강시민공원이촌지구,강변북로,하행,710
387,1020000600,한강시민공원이촌지구,한강대교북단,강변북로,상행,826
388,1020000700,이촌대림아파트(강변북로),한강대교북단,강변북로,하행,681
389,1020000800,한강대교북단,이촌대림아파트(강변북로),강변북로,상행,856
390,1020000900,동호대교북단,반포대교북단,강변북로,상행,2937
391,1020001000,반포대교북단,한남대교북단,강변북로,하행,1900
392,1020001100,이촌대림아파트(강변북로하행),이촌대림아파트(강변북로),강변북로,하행,273
393,1020001200,이촌대림아파트(강변북로),원효대교북단,강변북로,상행,565
394,1020001300,원효로진출입(강변북로),이촌대림아파트(강변북로하행),강변북로,하행,1010
395,1020001400,원효대교북단,원효로진출입(강변북로),강변북로,상행,882
396,1020001600,한남대교북단,동호대교북단,강변북로,하행,1059
397,1020001700,마포대교북단,원효로진출입(강변북로),강변북로,하행,494
398,1020001800,원효로진출입(강변북로),마포대교북단,강변북로,상행,381
399,1020002300,서빙고역,서빙고신동아아파트,이촌로,하행,1059
400,1020002400,서빙고신동아아파트,서빙고역,이촌로,상행,1115
401,1020002500,신용산초교,서빙고신동아아파트,이촌로,상행,835
402,1020002600,서빙고신동아아파트,신용산초교,이촌로,하행,831
403,1020002700,용산가족공원,동작대교북단,동작대로,하행,402
404,1020002800,동작대교북단,용산가족공원,동작대로,상행,414
405,1020002900,이촌로강변북로진입,한강시민공원이촌지구,이촌로46길,상행,420
406,1020003000,한강시민공원이촌지구,이촌로강변북로진입,이촌로46길,하행,644
407,1020003100,농업기술진흥관,신용산초교,이촌로,상행,546
408,1020003200,신용산초교,농업기술진흥관,이촌로,하행,546
409,1020003300,서빙고역,서빙고동주민센터,서빙고로,상행,298
410,1020003400,서빙고동주민센터,서빙고역,서빙고로,하행,295
411,1020003500,서빙고역,용산가족공원,서빙고로,하행,454
412,1020003600,용산가족공원,서빙고역,서빙고로,상행,448
413,1020003700,이촌역앞,용산가족공원,서빙고로,상행,1267
414,1020003800,용산가족공원,이촌역앞,서빙고로,하행,1261
415,1020003900,이촌로강변북로진입,농업기술진흥관,이촌로,상행,543
416,1020004000,농업기술진흥관,이촌로강변북로진입,이촌로,하행,549
417,1020004100,보광동사거리,서빙고동주민센터,서빙고로,하행,942
418,1020004200,서빙고동주민센터,보광동사거리,서빙고로,상행,953
419,1020004300,한강대교북단교차로,이촌로강변북로진입,이촌로,상행,251
420,1020004400,이촌로강변북로진입,한강대교북단교차로,이촌로,하행,246
421,1020004700,이촌역앞,이촌동두산위브,이촌로51길,상행,551
422,1020004800,이촌동두산위브,이촌역앞,이촌로51길,하행,550
423,1020004900,한강중교앞,반포대교북단,녹사평대로,상행,757
424,1020005000,반포대교북단,한강중교앞,녹사평대로,하행,757
425,1020005500,한강중교앞,서빙고역,서빙고로51길,상행,635
426,1020005600,서빙고역,한강중교앞,서빙고로51길,하행,632
427,1020005900,용산역앞,이촌역앞,서빙고로,상행,727
428,1020006000,이촌역앞,용산역앞,서빙고로,하행,723
429,1020006100,용산역앞,한강대교북단교차로,한강대로,상행,531
430,1020006200,한강대교북단교차로,용산역앞,한강대로,하행,528
431,1020006300,보광동주민센터,보광동사거리,보광로,하행,192
432,1020006400,보광동사거리,보광동주민센터,보광로,상행,191
433,1020006500,원효로현대자동차서비스,한강대교북단교차로직전,이촌로,상행,1255
434,1020006600,한강대교북단교차로,원효로현대자동차서비스,이촌로,하행,1345
435,1020006700,크라운호텔,보광동주민센터,장문로,상행,1025
436,1020006800,보광동주민센터,크라운호텔,장문로,하행,1012
437,1020006900,한남역,보광동사거리,서빙고로,하행,583
438,1020007000,보광동사거리,한남역,서빙고로,상행,578
439,1020007100,크라운호텔,한강중교앞,녹사평대로,상행,451
440,1020007200,한강중교앞,크라운호텔,녹사평대로,하행,450
441,1020007300,전자상가입구,용산역앞,한강대로,상행,451
442,1020007400,용산역앞,전자상가입구,한강대로,하행,451
443,1020007500,보광청화아파트,보광동주민센터,보광로,하행,793
444,1020007600,보광동주민센터,보광청화아파트,보광로,상행,792
445,1020007700,원효대교진출입고가차도,원효대교북단,여의대방로,하행,627
446,1020007800,원효대교북단,원효대교진출입고가차도,여의대방로,상행,626
447,1020008300,용산전자상가,전자상가입구,새창로,상행,634
448,1020008400,전자상가입구,용산전자상가,새창로,하행,631
449,1020008500,한남오거리,한남대교북단,한남대로,하행,483
450,1020008600,한남대교북단,한남오거리,한남대로,상행,482
451,1020008700,보광청화아파트,크라운호텔,녹사평대로26길,하행,528
452,1020008800,크라운호텔,보광청화아파트,녹사평대로26길,상행,510
453,1020008900,녹사평역,크라운호텔,녹사평대로,상행,551
